result,queue,major,minor
MISS,LLTJ,TLLJ,STL
MISS,LLTJ,TLLJ,STO
MISS,LLTJ,TLLJ,STZ
MISS,LLTJ,TLLJ,SIT
MISS,LLTJ,TLLJ,SIJ
MISS,LLTJ,TLLJ,SIL
MISS,LLTJ,TLLJ,SIO
MISS,LLTJ,TLLJ,SIZ
MISS,LLTJ,TLLJ,SJT
MISS,LLTJ,TLLJ,SJI
MISS,LLTJ,TLLJ,SJL
MISS,LLTJ,TLLJ,SJO
MISS,LLTJ,TLLJ,SJZ
MISS,LLTJ,TLLJ,SLT
MISS,LLTJ,TLLJ,SLI
MISS,LLTJ,TLLJ,SLJ
MISS,LLTJ,TLLJ,SLO
MISS,LLTJ,TLLJ,SLZ
MISS,LLTJ,TLLJ,SOT
MISS,LLTJ,TLLJ,SOI
MISS,LLTJ,TLLJ,SOJ
MISS,LLTJ,TLLJ,SOL
MISS,LLTJ,TLLJ,SOZ
MISS,LLTJ,TLLJ,SZT
MISS,LLTJ,TLLJ,SZI
MISS,LLTJ,TLLJ,SZJ
MISS,LLTJ,TLLJ,SZL
MISS,LLTJ,TLLJ,SZO
MISS,LLTJ,TLLJ,ZTI
MISS,LLTJ,TLLJ,ZTJ
MISS,LLTJ,TLLJ,ZTL
MISS,LLTJ,TLLJ,ZTO
MISS,LLTJ,TLLJ,ZTS
MISS,LLTJ,TLLJ,ZIT
MISS,LLTJ,TLLJ,ZIJ
MISS,LLTJ,TLLJ,ZIL
MISS,LLTJ,TLLJ,ZIO
MISS,LLTJ,TLLJ,ZIS
MISS,LLTJ,TLLJ,ZJT
MISS,LLTJ,TLLJ,ZJI
MISS,LLTJ,TLLJ,ZJL
MISS,LLTJ,TLLJ,ZJO
MISS,LLTJ,TLLJ,ZJS
MISS,LLTJ,TLLJ,ZLT
MISS,LLTJ,TLLJ,ZLI
MISS,LLTJ,TLLJ,ZLJ
MISS,LLTJ,TLLJ,ZLO
MISS,LLTJ,TLLJ,ZLS
MISS,LLTJ,TLLJ,ZOT
MISS,LLTJ,TLLJ,ZOI
MISS,LLTJ,TLLJ,ZOJ
MISS,LLTJ,TLLJ,ZOL
MISS,LLTJ,TLLJ,ZOS
MISS,LLTJ,TLLJ,ZST
MISS,LLTJ,TLLJ,ZSI
MISS,LLTJ,TLLJ,ZSJ
MISS,LLTJ,TLLJ,ZSL
MISS,LLTJ,TLLJ,ZSO
MISS,LLTJ,TLJL
MISS,LLTJ,TJLL
MISS,LLTJ,JLLT
MISS,LLTJ,JLTL
MISS,LLTJ,JTLL
HIT,LLTO
HIT,LLTS
HIT,LLTZ
HIT,LLIJ,LLIJ,TIJ
HIT,LLIJ,LLIJ,TIL
HIT,LLIJ,LLIJ,TIO
HIT,LLIJ,LLIJ,TIS
HIT,LLIJ,LLIJ,TIZ
HIT,LLIJ,LLIJ,TJI
HIT,LLIJ,LLIJ,TJL
HIT,LLIJ,LLIJ,TJO
HIT,LLIJ,LLIJ,TJS
HIT,LLIJ,LLIJ,TJZ
HIT,LLIJ,LLIJ,TLI
HIT,LLIJ,LLIJ,TLJ
HIT,LLIJ,LLIJ,TLO
HIT,LLIJ,LLIJ,TLS
HIT,LLIJ,LLIJ,TLZ
HIT,LLIJ,LLIJ,TOI
HIT,LLIJ,LLIJ,TOJ
HIT,LLIJ,LLIJ,TOL
HIT,LLIJ,LLIJ,TOS
HIT,LLIJ,LLIJ,TOZ
HIT,LLIJ,LLIJ,TSI
HIT,LLIJ,LLIJ,TSJ
HIT,LLIJ,LLIJ,TSL
HIT,LLIJ,LLIJ,TSO
HIT,LLIJ,LLIJ,TSZ
HIT,LLIJ,LLIJ,TZI
HIT,LLIJ,LLIJ,TZJ
HIT,LLIJ,LLIJ,TZL
HIT,LLIJ,LLIJ,TZO
HIT,LLIJ,LLIJ,TZS
HIT,LLIJ,LLIJ,ITJ
HIT,LLIJ,LLIJ,ITL
HIT,LLIJ,LLIJ,ITO
HIT,LLIJ,LLIJ,ITS
HIT,LLIJ,LLIJ,ITZ
HIT,LLIJ,LLIJ,IJT
HIT,LLIJ,LLIJ,IJL
HIT,LLIJ,LLIJ,IJO
HIT,LLIJ,LLIJ,IJS
HIT,LLIJ,LLIJ,IJZ
HIT,LLIJ,LLIJ,ILT
HIT,LLIJ,LLIJ,ILJ
HIT,LLIJ,LLIJ,ILO
HIT,LLIJ,LLIJ,ILS
HIT,LLIJ,LLIJ,ILZ
HIT,LLIJ,LLIJ,IOT
HIT,LLIJ,LLIJ,IOJ
HIT,LLIJ,LLIJ,IOL
HIT,LLIJ,LLIJ,IOS
HIT,LLIJ,LLIJ,IOZ
HIT,LLIJ,LLIJ,IST
HIT,LLIJ,LLIJ,ISJ
HIT,LLIJ,LLIJ,ISL
HIT,LLIJ,LLIJ,ISO
HIT,LLIJ,LLIJ,ISZ
HIT,LLIJ,LLIJ,IZT
HIT,LLIJ,LLIJ,IZJ
HIT,LLIJ,LLIJ,IZL
HIT,LLIJ,LLIJ,IZO
HIT,LLIJ,LLIJ,IZS
HIT,LLIJ,LLIJ,JTI
HIT,LLIJ,LLIJ,JTL
HIT,LLIJ,LLIJ,JTO
HIT,LLIJ,LLIJ,JTS
HIT,LLIJ,LLIJ,JTZ
HIT,LLIJ,LLIJ,JIT
HIT,LLIJ,LLIJ,JIL
HIT,LLIJ,LLIJ,JIO
HIT,LLIJ,LLIJ,JIS
HIT,LLIJ,LLIJ,JIZ
HIT,LLIJ,LLIJ,JLT
HIT,LLIJ,LLIJ,JLI
HIT,LLIJ,LLIJ,JLO
HIT,LLIJ,LLIJ,JLS
HIT,LLIJ,LLIJ,JLZ
HIT,LLIJ,LLIJ,JOT
MISS,LLIJ,LLIJ,JOI
MISS,LLIJ,LLIJ,JOL
MISS,LLIJ,LLIJ,JOS
MISS,LLIJ,LLIJ,JOZ
MISS,LLIJ,LLIJ,JST
MISS,LLIJ,LLIJ,JSI
MISS,LLIJ,LLIJ,JSL
MISS,LLIJ,LLIJ,JSO
MISS,LLIJ,LLIJ,JSZ
MISS,LLIJ,LLIJ,JZT
MISS,LLIJ,LLIJ,JZI
MISS,LLIJ,LLIJ,JZL
MISS,LLIJ,LLIJ,JZO
MISS,LLIJ,LLIJ,JZS
MISS,LLIJ,LLIJ,LTI
MISS,LLIJ,LLIJ,LTJ
MISS,LLIJ,LLIJ,LTO
MISS,LLIJ,LLIJ,LTS
MISS,LLIJ,LLIJ,LTZ
MISS,LLIJ,LLIJ,LIT
MISS,LLIJ,LLIJ,LIJ
MISS,LLIJ,LLIJ,LIO
MISS,LLIJ,LLIJ,LIS
MISS,LLIJ,LLIJ,LIZ
MISS,LLIJ,LLIJ,LJT
MISS,LLIJ,LLIJ,LJI
MISS,LLIJ,LLIJ,LJO
MISS,LLIJ,LLIJ,LJS
MISS,LLIJ,LLIJ,LJZ
MISS,LLIJ,LLIJ,LOT
MISS,LLIJ,LLIJ,LOI
MISS,LLIJ,LLIJ,LOJ
MISS,LLIJ,LLIJ,LOS
MISS,LLIJ,LLIJ,LOZ
MISS,LLIJ,LLIJ,LST
MISS,LLIJ,LLIJ,LSI
MISS,LLIJ,LLIJ,LSJ
MISS,LLIJ,LLIJ,LSO
MISS,LLIJ,LLIJ,LSZ
MISS,LLIJ,LLIJ,LZT
MISS,LLIJ,LLIJ,LZI
MISS,LLIJ,LLIJ,LZJ
MISS,LLIJ,LLIJ,LZO
MISS,LLIJ,LLIJ,LZS
MISS,LLIJ,LLIJ,OTI
MISS,LLIJ,LLIJ,OTJ
MISS,LLIJ,LLIJ,OTL
MISS,LLIJ,LLIJ,OTS
MISS,LLIJ,LLIJ,OTZ
MISS,LLIJ,LLIJ,OIT
MISS,LLIJ,LLIJ,OIJ
MISS,LLIJ,LLIJ,OIL
MISS,LLIJ,LLIJ,OIS
MISS,LLIJ,LLIJ,OIZ
MISS,LLIJ,LLIJ,OJT
MISS,LLIJ,LLIJ,OJI
MISS,LLIJ,LLIJ,OJL
MISS,LLIJ,LLIJ,OJS
MISS,LLIJ,LLIJ,OJZ
MISS,LLIJ,LLIJ,OLT
MISS,LLIJ,LLIJ,OLI
MISS,LLIJ,LLIJ,OLJ
MISS,LLIJ,LLIJ,OLS
MISS,LLIJ,LLIJ,OLZ
MISS,LLIJ,LLIJ,OST
MISS,LLIJ,LLIJ,OSI
MISS,LLIJ,LLIJ,OSJ
MISS,LLIJ,LLIJ,OSL
MISS,LLIJ,LLIJ,OSZ
MISS,LLIJ,LLIJ,OZT
MISS,LLIJ,LLIJ,OZI
MISS,LLIJ,LLIJ,OZJ
MISS,LLIJ,LLIJ,OZL
MISS,LLIJ,LLIJ,OZS
MISS,LLIJ,LLIJ,STI
MISS,LLIJ,LLIJ,STJ
MISS,LLIJ,LLIJ,STL
MISS,LLIJ,LLIJ,STO
MISS,LLIJ,LLIJ,STZ
MISS,LLIJ,LLIJ,SIT
MISS,LLIJ,LLIJ,SIJ
MISS,LLIJ,LLIJ,SIL
MISS,LLIJ,LLIJ,SIO
MISS,LLIJ,LLIJ,SIZ
MISS,LLIJ,LLIJ,SJT
MISS,LLIJ,LLIJ,SJI
MISS,LLIJ,LLIJ,SJL
MISS,LLIJ,LLIJ,SJO
MISS,LLIJ,LLIJ,SJZ
MISS,LLIJ,LLIJ,SLT
MISS,LLIJ,LLIJ,SLI
MISS,LLIJ,LLIJ,SLJ
MISS,LLIJ,LLIJ,SLO
MISS,LLIJ,LLIJ,SLZ
MISS,LLIJ,LLIJ,SOT
MISS,LLIJ,LLIJ,SOI
MISS,LLIJ,LLIJ,SOJ
MISS,LLIJ,LLIJ,SOL
MISS,LLIJ,LLIJ,SOZ
MISS,LLIJ,LLIJ,SZT
MISS,LLIJ,LLIJ,SZI
MISS,LLIJ,LLIJ,SZJ
MISS,LLIJ,LLIJ,SZL
MISS,LLIJ,LLIJ,SZO
MISS,LLIJ,LLIJ,ZTI
MISS,LLIJ,LLIJ,ZTJ
MISS,LLIJ,LLIJ,ZTL
MISS,LLIJ,LLIJ,ZTO
MISS,LLIJ,LLIJ,ZTS
MISS,LLIJ,LLIJ,ZIT
MISS,LLIJ,LLIJ,ZIJ
MISS,LLIJ,LLIJ,ZIL
